Name,Full Path,Size,Allocated,Files,Folders,% of Parent (Allocated),Last Modified,Last Accessed,Owner,Type,Dir Level (Relative)
Catalyst_final_948.png,D:\FileServer\Engineering\Summit252\Catalyst_final_948.png,1.3 MB,1.3 MB,1,0,0.0 %,12/12/2025,12/31/2025,CORP\dmiller,PNG File,3
Apollo_draft_755.dwg,D:\FileServer\Engineering\Summit252\Apollo_draft_755.dwg,100.4 MB,100.4 MB,1,0,0.4 %,06/09/2025,12/31/2025,CORP\rgarcia,DWG File,3
Quantum_draft_807.sql,D:\FileServer\Engineering\Summit252\Quantum_draft_807.sql,13.8 MB,13.8 MB,1,0,0.1 %,04/16/2019,05/25/2019,CORP\lokafor,SQL File,3
Reports,D:\FileServer\Engineering\Summit252\Reports\,8.2 GB,8.2 GB,7,0,34.9 %,02/27/2024,04/19/2025,CORP\lokafor,File Folder,3
Quantum_data_229.pptx,D:\FileServer\Engineering\Summit252\Reports\Quantum_data_229.pptx,42.4 MB,42.4 MB,1,0,0.5 %,03/02/2017,04/14/2018,CORP\kpatel,PPTX File,4
Quantum_v1_991.tif,D:\FileServer\Engineering\Summit252\Reports\Quantum_v1_991.tif,71.9 MB,71.9 MB,1,0,0.9 %,12/09/2018,09/25/2020,CORP\svc_backup,TIF File,4
Vertex_minutes_340.pptx,D:\FileServer\Engineering\Summit252\Reports\Vertex_minutes_340.pptx,7.6 MB,7.6 MB,1,0,0.1 %,11/01/2024,07/26/2025,CORP\achen,PPTX File,4
Catalyst_export_40.pdf,D:\FileServer\Engineering\Summit252\Reports\Catalyst_export_40.pdf,27.9 MB,27.9 MB,1,0,0.3 %,11/16/2018,12/01/2020,CORP\kpatel,PDF File,4
Vertex_Q4_119.vsdx,D:\FileServer\Engineering\Summit252\Reports\Vertex_Q4_119.vsdx,2.3 MB,2.3 MB,1,0,0.0 %,02/17/2017,11/04/2017,CORP\jsmith,VSDX File,4
Summit_Q1_2.iso,D:\FileServer\Engineering\Summit252\Reports\Summit_Q1_2.iso,6.2 GB,6.2 GB,1,0,75.8 %,01/25/2023,02/22/2025,CORP\rgarcia,Disc Image File,4
Atlas_Q1_72.accdb,D:\FileServer\Engineering\Summit252\Reports\Atlas_Q1_72.accdb,1.8 GB,1.8 GB,1,0,22.4 %,09/14/2018,06/13/2020,CORP\kpatel,Access Database,4
2024,D:\FileServer\Engineering\Summit252\2024\,13.4 GB,13.4 GB,10,0,56.8 %,07/05/2024,05/25/2016,CORP\tnguyen,File Folder,3
Quantum_Q1_335.vsdx,D:\FileServer\Engineering\Summit252\2024\Quantum_Q1_335.vsdx,2.8 MB,2.8 MB,1,0,0.0 %,04/26/2018,11/14/2019,CORP\achen,VSDX File,4
Nimbus_Q1_681.vsdx,D:\FileServer\Engineering\Summit252\2024\Nimbus_Q1_681.vsdx,2.7 MB,2.8 MB,1,0,0.0 %,05/23/2023,11/17/2023,CORP\administrator,VSDX File,4
Catalyst_budget_416.dat,D:\FileServer\Engineering\Summit252\2024\Catalyst_budget_416.dat,107.4 KB,108.0 KB,1,0,0.0 %,05/29/2018,03/18/2019,CORP\rgarcia,DAT File,4
Vertex_proposal_622.pst,D:\FileServer\Engineering\Summit252\2024\Vertex_proposal_622.pst,13.3 GB,13.3 GB,1,0,99.5 %,12/15/2019,03/11/2021,CORP\rgarcia,Outlook Data File,4
Pioneer_Q3_813.py,D:\FileServer\Engineering\Summit252\2024\Pioneer_Q3_813.py,43.6 KB,44.0 KB,1,0,0.0 %,05/22/2022,08/16/2022,CORP\tnguyen,Python File,4
Pioneer_plan_96.tif,D:\FileServer\Engineering\Summit252\2024\Pioneer_plan_96.tif,60.6 MB,60.6 MB,1,0,0.4 %,07/18/2022,05/31/2023,CORP\rgarcia,TIF File,4
Orbit_notes_151.pptx,D:\FileServer\Engineering\Summit252\2024\Orbit_notes_151.pptx,3.1 MB,3.1 MB,1,0,0.0 %,09/29/2017,01/28/2019,CORP\administrator,PPTX File,4
Pulse_v1_467.msg,D:\FileServer\Engineering\Summit252\2024\Pulse_v1_467.msg,1.8 MB,1.8 MB,1,0,0.0 %,01/23/2022,09/04/2023,CORP\rgarcia,MSG File,4
Summit_review_507.vsdx,D:\FileServer\Engineering\Summit252\2024\Summit_review_507.vsdx,1.0 MB,1.0 MB,1,0,0.0 %,08/27/2016,06/29/2018,CORP\jsmith,VSDX File,4
Orbit_v2_798.msg,D:\FileServer\Engineering\Summit252\2024\Orbit_v2_798.msg,458.0 KB,460.0 KB,1,0,0.0 %,12/21/2016,12/03/2018,CORP\svc_backup,MSG File,4
Horizon151,D:\FileServer\Engineering\Horizon151\,26.8 GB,26.8 GB,46,4,52.9 %,04/02/2021,10/17/2017,CORP\mwilson,File Folder,2
Falcon_Q2_684.iso,D:\FileServer\Engineering\Horizon151\Falcon_Q2_684.iso,2.5 GB,2.5 GB,1,0,9.2 %,08/27/2025,12/31/2025,CORP\lokafor,Disc Image File,3
Catalyst_Q4_437.dat,D:\FileServer\Engineering\Horizon151\Catalyst_Q4_437.dat,114.2 MB,114.2 MB,1,0,0.4 %,01/22/2025,07/03/2025,CORP\lokafor,DAT File,3
Horizon_export_770.png,D:\FileServer\Engineering\Horizon151\Horizon_export_770.png,5.1 MB,5.1 MB,1,0,0.0 %,02/09/2018,04/03/2020,CORP\svc_backup,PNG File,3
Horizon_data_282.log,D:\FileServer\Engineering\Horizon151\Horizon_data_282.log,5.0 MB,5.0 MB,1,0,0.0 %,01/01/2023,10/20/2023,CORP\rgarcia,Log File,3
Quantum_plan_328.dat,D:\FileServer\Engineering\Horizon151\Quantum_plan_328.dat,20.6 MB,20.6 MB,1,0,0.1 %,07/20/2016,12/21/2016,CORP\rgarcia,DAT File,3
Vertex_final_724.jpg,D:\FileServer\Engineering\Horizon151\Vertex_final_724.jpg,604.3 KB,608.0 KB,1,0,0.0 %,08/27/2019,10/17/2020,CORP\kpatel,JPG File,3
Pioneer_Q2_426.docx,D:\FileServer\Engineering\Horizon151\Pioneer_Q2_426.docx,1.7 MB,1.7 MB,1,0,0.0 %,05/04/2024,07/08/2025,CORP\dmiller,DOCX File,3
Orbit_proposal_969.sql,D:\FileServer\Engineering\Horizon151\Orbit_proposal_969.sql,2.5 MB,2.5 MB,1,0,0.0 %,08/10/2024,12/31/2025,CORP\administrator,SQL File,3
Vertex_Q3_7.psd,D:\FileServer\Engineering\Horizon151\Vertex_Q3_7.psd,310.5 MB,310.6 MB,1,0,1.1 %,06/14/2023,07/17/2024,CORP\dmiller,PSD File,3
Pioneer_minutes_820.json,D:\FileServer\Engineering\Horizon151\Pioneer_minutes_820.json,1.8 MB,1.8 MB,1,0,0.0 %,06/22/2020,02/01/2021,CORP\tnguyen,JSON File,3
2021,D:\FileServer\Engineering\Horizon151\2021\,0 B,0 B,18,0,0.0 %,04/29/2015,05/12/2019,CORP\kpatel,File Folder,3
Beacon_review_742.csv,D:\FileServer\Engineering\Horizon151\2021\Beacon_review_742.csv,59.8 MB,59.8 MB,1,0,0.5 %,04/24/2025,09/01/2025,CORP\administrator,CSV File,4
Pioneer_summary_929.vsdx,D:\FileServer\Engineering\Horizon151\2021\Pioneer_summary_929.vsdx,2.4 MB,2.4 MB,1,0,0.0 %,04/30/2021,03/09/2023,CORP\jsmith,VSDX File,4
Titan_Q1_139.log,D:\FileServer\Engineering\Horizon151\2021\Titan_Q1_139.log,11.6 MB,11.6 MB,1,0,0.1 %,07/25/2015,04/16/2016,CORP\dmiller,Log File,4
Atlas_notes_466.dwg,D:\FileServer\Engineering\Horizon151\2021\Atlas_notes_466.dwg,43.5 MB,43.5 MB,1,0,0.4 %,07/15/2023,08/06/2024,CORP\tnguyen,DWG File,4
Orbit_Q1_259.xlsx,D:\FileServer\Engineering\Horizon151\2021\Orbit_Q1_259.xlsx,15.1 MB,15.1 MB,1,0,0.1 %,03/21/2015,04/26/2017,CORP\svc_backup,XLSX File,4
Apollo_spec_230.pst,D:\FileServer\Engineering\Horizon151\2021\Apollo_spec_230.pst,5.0 GB,5.0 GB,1,0,44.2 %,05/30/2024,06/19/2024,CORP\administrator,Outlook Data File,4
Falcon_data_130.bak,D:\FileServer\Engineering\Horizon151\2021\Falcon_data_130.bak,2.7 GB,2.7 GB,1,0,23.5 %,04/29/2021,12/08/2021,CORP\lokafor,BAK File,4
Summit_export_786.psd,D:\FileServer\Engineering\Horizon151\2021\Summit_export_786.psd,176.6 MB,176.6 MB,1,0,1.5 %,10/17/2021,06/30/2023,CORP\mwilson,PSD File,4
Orbit_draft_988.mp4,D:\FileServer\Engineering\Horizon151\2021\Orbit_draft_988.mp4,444.7 MB,444.7 MB,1,0,3.8 %,06/28/2021,07/24/2021,CORP\tnguyen,MP4 File,4
Catalyst_review_407.sql,D:\FileServer\Engineering\Horizon151\2021\Catalyst_review_407.sql,25.4 MB,25.4 MB,1,0,0.2 %,11/08/2015,07/06/2017,CORP\rgarcia,SQL File,4
Titan_budget_871.accdb,D:\FileServer\Engineering\Horizon151\2021\Titan_budget_871.accdb,1.2 GB,1.2 GB,1,0,10.5 %,01/13/2024,05/15/2024,CORP\administrator,Access Database,4
Orbit_report_356.dat,D:\FileServer\Engineering\Horizon151\2021\Orbit_report_356.dat,109.7 MB,109.7 MB,1,0,0.9 %,06/02/2022,06/16/2023,CORP\mwilson,DAT File,4
2022,D:\FileServer\Engineering\Horizon151\2022\,5.6 GB,5.6 GB,8,0,20.8 %,04/06/2022,10/29/2018,CORP\jsmith,File Folder,3
Pulse_Q3_109.msg,D:\FileServer\Engineering\Horizon151\2022\Pulse_Q3_109.msg,751.5 KB,752.0 KB,1,0,0.0 %,02/16/2022,06/01/2023,CORP\achen,MSG File,4
Vertex_draft_752.iso,D:\FileServer\Engineering\Horizon151\2022\Vertex_draft_752.iso,5.2 GB,5.2 GB,1,0,92.9 %,01/24/2024,07/28/2025,CORP\lokafor,Disc Image File,4
Horizon_Q1_846.py,D:\FileServer\Engineering\Horizon151\2022\Horizon_Q1_846.py,151.9 KB,152.0 KB,1,0,0.0 %,01/04/2018,11/30/2018,CORP\rgarcia,Python File,4
Pulse_v1_286.log,D:\FileServer\Engineering\Horizon151\2022\Pulse_v1_286.log,15.6 MB,15.6 MB,1,0,0.3 %,06/01/2023,09/18/2024,CORP\administrator,Log File,4
Catalyst_review_345.pptx,D:\FileServer\Engineering\Horizon151\2022\Catalyst_review_345.pptx,31.8 MB,31.8 MB,1,0,0.6 %,07/17/2024,06/14/2025,CORP\achen,PPTX File,4
Horizon_notes_364.zip,D:\FileServer\Engineering\Horizon151\2022\Horizon_notes_364.zip,348.6 MB,348.6 MB,1,0,6.1 %,02/19/2018,10/22/2019,CORP\tnguyen,ZIP File,4
Pioneer_summary_530.jpg,D:\FileServer\Engineering\Horizon151\2022\Pioneer_summary_530.jpg,779.5 KB,780.0 KB,1,0,0.0 %,09/15/2017,09/22/2019,CORP\dmiller,JPG File,4
Horizon_minutes_777.png,D:\FileServer\Engineering\Horizon151\2022\Horizon_minutes_777.png,5.5 MB,5.5 MB,1,0,0.1 %,05/04/2020,02/24/2022,CORP\lokafor,PNG File,4
2021,D:\FileServer\Engineering\Horizon151\2021\,11.4 GB,11.4 GB,18,0,42.6 %,11/22/2023,03/12/2015,CORP\mwilson,File Folder,3
Nimbus_review_709.png,D:\FileServer\Engineering\Horizon151\2021\Nimbus_review_709.png,2.5 MB,2.5 MB,1,0,0.0 %,06/12/2022,01/28/2024,CORP\kpatel,PNG File,4
Horizon_minutes_544.psd,D:\FileServer\Engineering\Horizon151\2021\Horizon_minutes_544.psd,440.5 MB,440.5 MB,1,0,3.8 %,05/14/2023,11/27/2024,CORP\kpatel,PSD File,4
Atlas_Q2_278.mp4,D:\FileServer\Engineering\Horizon151\2021\Atlas_Q2_278.mp4,1.0 GB,1.0 GB,1,0,8.8 %,08/02/2017,12/03/2017,CORP\rgarcia,MP4 File,4
Atlas_v2_761.dat,D:\FileServer\Engineering\Horizon151\2021\Atlas_v2_761.dat,176.7 MB,176.7 MB,1,0,1.5 %,01/28/2017,08/12/2017,CORP\rgarcia,DAT File,4
Summit_Q3_284.py,D:\FileServer\Engineering\Horizon151\2021\Summit_Q3_284.py,151.1 KB,152.0 KB,1,0,0.0 %,12/14/2025,12/31/2025,CORP\svc_backup,Python File,4
Catalyst_budget_103.jpg,D:\FileServer\Engineering\Horizon151\2021\Catalyst_budget_103.jpg,2.4 MB,2.4 MB,1,0,0.0 %,07/20/2017,07/24/2018,CORP\achen,JPG File,4
Backups,D:\FileServer\Engineering\Horizon151\Backups\,4.3 GB,4.3 GB,4,0,16.2 %,02/27/2015,12/10/2022,CORP\svc_backup,File Folder,3
Quantum_report_998.docx,D:\FileServer\Engineering\Horizon151\Backups\Quantum_report_998.docx,4.4 MB,4.4 MB,1,0,0.1 %,04/11/2018,03/25/2020,CORP\achen,DOCX File,4
Beacon_Q3_106.pptx,D:\FileServer\Engineering\Horizon151\Backups\Beacon_Q3_106.pptx,36.9 MB,36.9 MB,1,0,0.8 %,03/10/2018,07/03/2019,CORP\lokafor,PPTX File,4
Horizon_plan_189.docx,D:\FileServer\Engineering\Horizon151\Backups\Horizon_plan_189.docx,2.0 MB,2.0 MB,1,0,0.0 %,07/21/2025,12/31/2025,CORP\mwilson,DOCX File,4
Pulse_v1_411.bak,D:\FileServer\Engineering\Horizon151\Backups\Pulse_v1_411.bak,4.3 GB,4.3 GB,1,0,99.0 %,01/22/2022,12/25/2023,CORP\jsmith,BAK File,4
Marketing,D:\FileServer\Marketing\,42.1 GB,42.1 GB,64,7,5.0 %,09/13/2016,09/03/2016,CORP\administrator,File Folder,1
Titan_data_122.dat,D:\FileServer\Marketing\Titan_data_122.dat,106.5 MB,106.5 MB,1,0,0.2 %,10/19/2021,06/21/2023,CORP\administrator,DAT File,2
Nimbus_Q4_390.log,D:\FileServer\Marketing\Nimbus_Q4_390.log,28.3 MB,28.3 MB,1,0,0.1 %,05/02/2018,12/25/2019,CORP\dmiller,Log File,2
Quantum_proposal_636.docx,D:\FileServer\Marketing\Quantum_proposal_636.docx,832.5 KB,836.0 KB,1,0,0.0 %,08/17/2025,12/31/2025,CORP\rgarcia,DOCX File,2
Beacon_notes_271.accdb,D:\FileServer\Marketing\Beacon_notes_271.accdb,167.2 MB,167.2 MB,1,0,0.4 %,10/05/2016,06/07/2017,CORP\achen,Access Database,2
Falcon102,D:\FileServer\Marketing\Falcon102\,31.2 GB,31.2 GB,30,3,74.2 %,08/01/2019,01/20/2020,CORP\administrator,File Folder,2
Quantum_report_238.mp4,D:\FileServer\Marketing\Falcon102\Quantum_report_238.mp4,2.8 GB,2.8 GB,1,0,9.1 %,03/04/2018,02/21/2020,CORP\lokafor,MP4 File,3
Titan_data_947.zip,D:\FileServer\Marketing\Falcon102\Titan_data_947.zip,640.2 MB,640.2 MB,1,0,2.0 %,08/12/2021,06/20/2023,CORP\rgarcia,ZIP File,3
Vertex_v2_558.png,D:\FileServer\Marketing\Falcon102\Vertex_v2_558.png,5.2 MB,5.2 MB,1,0,0.0 %,09/02/2016,06/01/2017,CORP\achen,PNG File,3
Titan_report_170.mp4,D:\FileServer\Marketing\Falcon102\Titan_report_170.mp4,2.4 GB,2.4 GB,1,0,7.6 %,05/26/2023,12/28/2024,CORP\tnguyen,MP4 File,3
Horizon_v2_480.sql,D:\FileServer\Marketing\Falcon102\Horizon_v2_480.sql,38.9 MB,38.9 MB,1,0,0.1 %,11/06/2022,12/23/2023,CORP\tnguyen,SQL File,3
